O,11.6,14,14,14,15,13,15,14,2,5,0,5,5,5,4.5,4.5,5,2,2,2,2,2,0,2,2,1,1,0,1.5,2,98,93,143,2
O,13.5,14.5,14.5,0,0,0,9,12,2,4.5,5,4.5,4.5,3.5,0,4.5,4.5,2,2,0,2,0,0,0,2,0,1,0,0,0,81.5,52.5,123,2
O,15,14.5,14,13.5,15,13.5,11.5,14.5,2,4,5,4.5,4.5,0,5,4.5,4.5,2,2,0,2,2,5,5,2,0.5,0.5,2,1.5,2,94.5,85.5,140,2
H,13,14.5,14.5,14.5,14,8.8,0,10,2,4,5,5,4,4.5,4.5,4.5,0,2,2,1.5,2,1.5,2,0,0.5,1,1,1.75,0,0,89,90,145,0
O,11,13.5,14,12,11,7.5,12.5,9,2,4.5,5,4,0,4,4,4,4.5,2,2,2,2,2,0,1.5,2,0,0,1.5,0,1,83,86,130,2
H,7,13,12,13.5,8,12.5,12.5,11,1.5,0,5,4,4.5,4,4.5,5,4,0,0,1.5,2,2,1.5,1.5,2,0,0,1,0.5,2,75,86,116,2
O,10.8,14,14,10,4.6,6,0,0,1.75,4.5,4,4.5,4.5,4,4,0,0,0,2,2,1,1.5,1,1,0,0,0,2,0,0,86,87,106,2
O,10,13.5,14.5,0,12,10,0,0,2,4.5,4.5,4.5,0,5,4.5,5,4.5,2,1.5,1.5,2,1.5,0,1.5,1,1,0,2,0,0,69,87,118,0
H,15,14.5,15,14.5,13.5,13.5,13.5,14,2,5,4.5,5,4.5,4.5,5,0,4.5,0,5,5,5,2,2,2,2,1,1,2,1.5,2,81,85.5,136,2
O,14.5,14.5,13.5,13.5,11.2,10.5,4.2,7.2,2,4.5,4,4.5,4,5,0,4,3.5,2,2,2,2,2,5,1.5,0,0,0,0,0,0,77,83,114,0
H,14.5,0,14,15,15,15,15,14.5,2,5,5,5,5,5,0,4.5,5,2,2,1.5,2,0,2,1.5,2,1,1,0,0,0,93,88.5,138,0
O,13.5,13,15,13,11.5,13.5,14.5,13,1.75,5,4.5,4.5,3.5,4.5,4,0,4.5,2,2,0,2,2,2,2,2,1,0,0,0,0.5,85,93.5,135,2
H,10.4,14.5,15,7.2,11.5,9.2,15,0,2,5,5,0,5,4,5,4.5,4,2,0,1.5,1,2,5,1.5,2,0,1,1.75,0,0,91,77,139,0
H,14.5,15,14.5,15,15,15,12.5,14.5,2,4.5,4.5,5,5,5,4.5,5,0,0,2,2,2,2,2,2,2,1,1,2,0.5,2,97,89.5,148,2
O,13.5,13.5,14,3,3.2,6.5,8,8.5,2,4,3.5,5,4.5,0,3.5,3.5,4,2,2,2,0,1.5,2,1.5,0,0,0,1.5,1,0,68,71.5,101,2
H,13.5,13,15,12.5,6,15,12.5,0,2,4.5,3,4.5,4,3,3.5,4.5,0,2,2,2,2,2,2,0,0,0,0,0,0,0,66.5,50.5,80,2
O,14.5,14.5,15,13,15,9.6,7.8,7.2,1.75,0,4.5,5,4.5,4,4,5,0,1.5,2,1.5,1.5,2,0,1,2,0,1,0,0,0,91.5,86.5,129,2
O,14.5,14.5,15,14,14.5,14.5,15,12.5,2,5,5,0,5,4,5,5,4.5,0,2,2,2,2,2,2,2,1,1,1.5,2,2,97.5,95.5,146,2
